item_id,vendor,title,old_cal,new_cal,abs_diff
51ef1dc9-68,healthybee,Apple Milkshake,63.88993403417882,143.41958410261597,79.52965006843715
sg-i1,swad gomantak,Grilled Fish Thali (light),380.0,325.66542613587256,54.334573864127435
51ef1dc9-67,healthybee,"Healthy and flavorful shake prepared with milk, apple, and banana.",129.25225762380347,175.21378046628735,45.96152284248387
51ef1dc9-10,healthybee,Only Peri Peri Grilled Chicken [200 gm],253.55245421637443,216.5290375465333,37.02341666984114
51ef1dc9-71,healthybee,Carrot Beetroot Juice [sugar-free],209.24520489992327,183.30522202680368,25.93998287311959
hb-i1,healthybee,Paneer Sprouts Salad,180.0,155.47906492932947,24.520935070670532
51ef1dc9-50,healthybee,"Packed with eggs, chicken, and vegetables, this wheat paratha wrap is prepared in olive oil.",165.61171660741994,189.24536718388924,23.633650576469307
51ef1dc9-28,healthybee,Peri - Peri Chicken Salad,210.69991239975803,187.61594124452324,23.083971155234792
51ef1dc9-77,healthybee,Fruit Milk Oats,138.3752334869614,159.07378533193682,20.698551844975412
51ef1dc9-34,healthybee,Classic Grill Chicken Salad,119.70392197035119,139.8725805615809,20.1686585912297
51ef1dc9-65,healthybee,Banana Milkshake,91.61855821464879,109.34199674604315,17.723438531394365
51ef1dc9-41,healthybee,Corn Salad,114.7699831377132,131.39492481113155,16.62494167341835
hb-i2,healthybee,Quinoa & Roasted Veg Bowl,320.0,304.12448293677625,15.875517063223754
3264c85c-188,swad gomantak,Kokum Sharbat,231.9229926582528,216.07711424604256,15.845878412210254
51ef1dc9-51,healthybee,Corn Veggie Wrap,166.5792053383477,181.93700366260848,15.357798324260784
ac4ec427-397,shree krishna veg es,Special Fruit Salad With Icecream,158.29127170346692,172.1898812456499,13.898609542182982
51ef1dc9-0,healthybee,Paneer Sprouts Salad,161.9514766924047,148.3416540273115,13.60982266509319
51ef1dc9-85,healthybee,Honey Ginger Lemonade,167.28626289329247,180.64713671026905,13.360873816976579
51ef1dc9-35,healthybee,Sprouts Salad,48.921966807257036,61.02381296193482,12.101846154677787
51ef1dc9-25,healthybee,Veg Coleslaw Sandwich,195.59119032481533,183.94956071748976,11.64162960732557
51ef1dc9-37,healthybee,Paneer Salad,210.51134969373638,199.01493751025995,11.496412183476423
3264c85c-190,swad gomantak,Roasted Papad,251.78360965739108,240.44660957733296,11.337000080058118
51ef1dc9-20,healthybee,Omelette Chicken Decker Sandwich,155.66971291968687,166.95703482658385,11.287321906896977
3264c85c-119,swad gomantak,Chicken Tawa Masala,198.61939472678768,188.1243244847352,10.495070242052464
51ef1dc9-3,healthybee,Rajma Masala Brown Rice Meal Box,140.56576944219438,150.67582010117647,10.11005065898209
3264c85c-163,swad gomantak,Tossed Crab,231.9229926582528,221.9143924401426,10.008600218110217
3264c85c-226,swad gomantak,Chicken Clear Soup,199.4532884713104,208.98621704470403,9.532928573393633
51ef1dc9-36,healthybee,Fruit Sprouts Salad,40.36885037411554,49.87561403983182,9.506763665716278
51ef1dc9-40,healthybee,Corn Sprouts Salad,40.36885037411554,49.68036642091536,9.311516046799824
ac4ec427-412,shree krishna veg es,Dal Tadka,176.2319212523665,167.13438566764893,9.097535584717576
3264c85c-132,swad gomantak,Mutton Sukka Dry,231.9229926582528,223.11107028732985,8.811922370922957
51ef1dc9-45,healthybee,Chicken Curry Chapati Meal Box,282.0738242087336,273.2895546652046,8.784269543528978
3264c85c-108,swad gomantak,Prawns Curry,189.56055133016685,198.22936333160217,8.668812001435327
3264c85c-176,swad gomantak,Bangada Tawa Fry,231.9229926582528,223.26901945660063,8.653973201652178
51ef1dc9-46,healthybee,Palak Paneer Brown Rice Meal Box,251.24301526399609,242.60276932336959,8.6402459406265
51ef1dc9-66,healthybee,Apple Banana Milkshake,89.13717120907903,97.44250859675812,8.305337387679089
3264c85c-209,swad gomantak,Dal Khichdi,129.2481151929424,137.1155798734651,7.867464680522687
3264c85c-152,swad gomantak,Green Peas Masala,216.15593958455545,208.3335071428422,7.822432441713261
3264c85c-149,swad gomantak,Paneer Butter Masala,260.5765731664588,252.868773313688,7.7077998527707905
sg-i2,swad gomantak,Veg Pulao (light),260.0,252.34845595252102,7.651544047478978
3264c85c-203,swad gomantak,Prawns Biryani,206.7983617084244,214.09629873901582,7.297937030591413
51ef1dc9-27,healthybee,Paneer Peri Peri Salad,258.01999321236207,250.88019233826506,7.139800874097006
51ef1dc9-73,healthybee,Balance Fruit Bowl,195.69552879636527,202.74794254000636,7.052413743641097
51ef1dc9-74,healthybee,Fruit Custard Bowl,195.69552879636527,202.74794254000636,7.052413743641097
3264c85c-204,swad gomantak,Mutton Biryani,206.7983617084244,213.38780233946113,6.589440631036723
51ef1dc9-7,healthybee,Strawberry Banana Chia Smoothie,95.97577063508014,102.13592542170501,6.160154786624872
51ef1dc9-17,healthybee,Veg Grilled Sandwich,223.6415823631425,217.72737589294337,5.914206470199133
51ef1dc9-33,healthybee,Zesty Herbs Grilled Paneer Salad,259.5166711051805,253.62535969978973,5.891311405390752
ac4ec427-404,shree krishna veg es,Banana Boat,170.02089129614987,164.1533477070211,5.867543589128758
51ef1dc9-64,healthybee,Banana Date Smoothie,95.85381794090912,101.70898675501877,5.855168814109646
